Team Name,Individual Name,Individual Climbs
Beast,Josh H,35
Beast,Jordan B,37
Beast,Ethan G,33
Beast,Devin M,14
Beast,egriff,25
Beast,JKW,27
Beast,Kiyah,23
Beast,Cory R,17
Beast,Adam,5
Beast,Vera,14
Beast,Josh T,25
Beast,Juan,23
Beast,Vivian,7
Beast,Sabina,3
Beast,Kevin,3
Beast,Rey,2
Beast,Amanda,1
2 West,Gaby A,1
2 West,bfrowley,6
2 West,luillo,5
2 West,ayeiser,5
2 West,Antar,1
SMIM,Hao,5
SMIM,Helen,5
SMIM,Pado,35
2 East,E-man,26
2 East,Joey,18
Midnight Sun,Yunfei,2
Midnight Sun,William,6
Midnight Sun,Dyan,6
Midnight Sun,Alexa,6
3 East,murd,1
3 East,sharon,1
Floorpi,Gkammer,5
Floorpi,Wellman,3
Floorpi,Bob,3
Floorpi,Laura,3
Floorpi,meghal,4
Floorpi,ejia,4
Floorpi,melly,3
Floorpi,schin19,-1
41W,nitz,-4
41W,nitz,3
41W,nss,-1
41W,aalamber,5
41W,aalamber,-3
Hex,Kathleen E,22
Hex,Antonio B,22
Hex,Daniel A,22
Hex,Janice T,12
Hex,Lily W,15
Hex,Priscilla L,5
Hex,Josiah W,3
Hex,Tiffany C,1
Hex,Ileana D,1
LUL 5W,Timmy,3
LUL 5W,Rondel,3
LUL 5W,Miana,7
LUL 5W,Mav,2
LUL 5W,Serena,1
LUL 5W,Claire,1
LUL 5W,Jesus,1
LUL 5W,Steph,1
LUL 5W,Irene,7
LUL 5W,Maddie,1
LUL 5W,C̩cile,1
Slugfest,Adriana,33
Slugfest,Maggie,30
Slugfest,Avery,15
Slugfest,Colin,26
Slugfest,Jledet,10
Slugfest,Caragay,14
Slugfest,Kristine,5
Slugfest,Drew,22
Slugfest,Bvaughan,20
Slugfest,Miske,25
Slugfest,Ibuki,8
Slugfest,R Lieburt (?),4
Slugfest,byronxu,15
Slugfest,Ally,18
Slugfest,devintkr,19
Slugfest,recorderbitch,1
Slugfest,chxu,8
Slugfest,Jess,1
Slugfest,Tim,1
Slugfest,Zoe,1
Slugfest,Kenny,1
(no team),Johan C,31